
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  
		DH_CokePress,							*,	5000,	850
		
	
	<Category> Money Exchange
		MoneyRuble1,								1,		1,			-1
		MoneyRuble5,								1,		5,			-1
		MoneyRuble10,								1,		10,			-1
		MoneyRuble25,								1,		25,			-1
		MoneyRuble50,								1,		50,			-1
		MoneyRuble100,								1,		100,		-1

<Trader> Misc Trader
	<Category> Repair Kits
		SewingKit,									*,		40, 		10
		Fabric,										1,		40, 		10
		LeatherSewingKit,							*,		50, 		20
		Whetstone,									*,		50,			20
		WeaponCleaningKit,							*,		80, 		30
		
	<Category> Tools
		Screwdriver,								*,		30,			10
		Hammer,										*,		70,			30
		Hacksaw,									*,		70,			30
		HandSaw,									*,		70,			30
		Pliers,										*,		40, 		10
		Wrench,										*,		30,			10	
		Pipe,										W,		250,		45
		LugWrench,									*,		40,			10
		Crowbar,									*,		50,			20
		Shovel,										*,		450,		50
		Pickaxe,									*,		550,		65
		SledgeHammer,								*,		500,		60
		PipeWrench,									W,		150,		70
		Hatchet,									*,		100,		40
		WoodAxe,									*,		200,		80
		FirefighterAxe,								*,		300,		120
		FirefighterAxe_Green,						*,		300,		120
		FirefighterAxe_Black,						*,		300,		120
				
	<Category> Knives
		CrudeMachete,		    					W,		650,		225
		KukriKnife,		        					W,		650,		225
		FangeKnife,		        					W,		650,		225
		KitchenKnife,								*,		80,			40
		SteakKnife,									*,		90,			40
		HuntingKnife,								*,		90,			40
		CombatKnife,								*,		100,		50
		HM_Knife,									*,		200,		75
		Machete,									*,		120,		60
		
	<Category> Electronics
		Battery9V,									*,		750,		150
		evg_PowerBank,								*,		6500,		850
		BatteryCharger,								*,		400,		175
		ElectronicRepairKit,						*,		350,		145
		CableReel,									*,		400,		175
		PersonalRadio,								*,		1200,		555
		GPSReceiver,								*,		850,		395
		Megaphone,									*,		300,		125
		BaseRadio,									*,		500,		300
		Rangefinder,								*,		900,		325
		Loftd_camera,								*,		3500,		100
		PowerGenerator,								*,		3000,		1000
		BBP_Solar_PanelKit,							*,		6000,		1200
		BBP_Gang_Plug,								*,		800,		400
		BBP_XmasLights_9v,							*,		80,			40
		BBP_XmasLights_Solar,						*,		120,		60

	<Category> Treasure Hunting
		TRMetalDetector,							*,		2000,	425
		TRMetalDetectorMil,		    				*,		2500,	500
		ItemPhoto21,		    					*,		-1,		1000
		ItemPhoto22,		    					*,		-1,		1000
		ItemPhoto23,		    					*,		-1,		1000
		ItemPhoto24,		    					*,		-1,		1000
		ItemPhoto25,		    					*,		-1,		1000
		ItemPhoto26,		    					*,		-1,		1000
		ItemPhoto27,		    					*,		-1,		1000
		ItemPhoto28,		    					*,		-1,		1000
		ItemPhoto29,		    					*,		-1,		1000
		ItemPhoto30,		    					*,		-1,		1000
		ItemPhoto31,		    					*,		-1,		1000
		ItemPhoto32,		    					*,		-1,		1000
		ItemPhoto33,		    					*,		-1,		1000
		ItemPhoto34,		    					*,		-1,		1000
		ItemPhoto35,		    					*,		-1,		1000
		ItemPhoto36,		    					*,		-1,		1000
		ItemPhoto37,		    					*,		-1,		1000
		ItemPhoto38,		    					*,		-1,		1000
		ItemPhoto39,		    					*,		-1,		1000
		ItemPhoto40,		    					*,		-1,		1000

	<Category> DNA Equipment
		DNA_Workbench_Kit,							*,		5000,		500
		DNA_Solder_Kit,		    					*,		2500,		500
		DNA_HelpingHands_Kit,						*,		2500,		500
		DNA_Battery_40v,							*,		5000,		1200
		DNA_Laptop,		        					*,		10000,		4500
		DNA_Solder,									*,		1000,		500
		DNA_Flux,									*,		1000,		500
		DNA_KeyCard_Blank,							*,		1500,		500
		DNA_Bolts,									*,		1000,		500
		DNA_CardReader,		    					*,		1500,		550

	<Category> Radios
		YK_RadioWalkman,							*,		600, 		330
		YK_Radio,									*,		600, 		330
		YK_RadioPanasonic,							*,		650, 		360
		YK_RadioVesna,								*,		700, 		390
		YK_CassetteCase,							*,		1000, 		430

	<Category> YK Cassettes
		YK_Cassette_NaZare,							*, 1000, 250
		YK_Cassette_Hentai,							*, 1000, 250
		YK_Cassette_Unravel,						*, 1000, 250
		YK_Cassette_Alert,							*, 1000, 250
		YK_Cassette_TokyoGhoul,						*, 1000, 250
		YK_Cassette_WasWollenWirTrinken,			*, 1000, 250
		YK_Cassette_WennDieSoldaten,				*, 1000, 250
		YK_Cassette_Leto,							*, 1000, 250
		YK_Cassette_Stuk,							*, 1000, 250
		YK_Cassette_Pachkasigaret,					*, 1000, 250
		YK_Cassette_Gruppakrovi,					*, 1000, 250
		YK_Cassette_Kukushka,						*, 1000, 250
		YK_Cassette_ZakroiZaMnoiDveri,				*, 1000, 250
		YK_Cassette_Sudno,							*, 1000, 250
		YK_Cassette_Discoteque,						*, 1000, 250
		YK_Cassette_Kletka,							*, 1000, 250
		YK_Cassette_Lydi,							*, 1000, 250
		YK_Cassette_Volny,							*, 1000, 250
		YK_Cassette_SmellsLikeTeenSpirit,			*, 1000, 250
		YK_Cassette_AUSL196NDER,					*, 1000, 250
		YK_Cassette_DEUTSCHLAND,					*, 1000, 250
		YK_Cassette_Duhast,							*, 1000, 250
		YK_Cassette_Feuerfrei,						*, 1000, 250
		YK_Cassette_IchWill,						*, 1000, 250
		YK_Cassette_LINKS,							*, 1000, 250
		YK_Cassette_MOSKAU,							*, 1000, 250
		YK_Cassette_WAS_ICH_LIEBE,					*, 1000, 250
		YK_Cassette_SNOLLERBOYS,					*, 1000, 250
		YK_Cassette_Adidas,							*, 1000, 250
		YK_Cassette_NasNeDogoniat,					*, 1000, 250
		YK_Cassette_Tchaikovsky_March,				*, 1000, 250
		YK_Cassette_Tchaikovsky_Overture,			*, 1000, 250
		YK_Cassette_Tchaikovsky_TheChristmasTree,	*, 1000, 250
		YK_Cassette_Tchaikovsky_WeSingToday,		*, 1000, 250
		YK_Cassette_DaiteLydamRomy,					*, 1000, 250
		YK_Cassette_DeadAnarhist,					*, 1000, 250
		YK_Cassette_DvaDruga,						*, 1000, 250
		YK_Cassette_EliMyasoMyzhiki,				*, 1000, 250
		YK_Cassette_Joker,							*, 1000, 250
		YK_Cassette_KyklaKoldyna,					*, 1000, 250
		YK_Cassette_PrignySoSkaly,					*, 1000, 250
		YK_Cassette_SevernyiFlot,					*, 1000, 250

	<Category> Full Albums
		GCassette_50_Cent_Get_Rich_or_Die_Tryin,					*, 5000, 1500
		GCassette_alt_J_An_Awesome_Wave,							*, 5000, 1500
		GCassette_Black_Sabbath_Paranoid,							*, 5000, 1500
		GCassette_Blink_182_Greatest_Hits,							*, 5000, 1500
		GCassette_Bob_Marley_Legend,								*, 5000, 1500
		GCassette_Creedence_Clearwater_Revival_Chronicle,			*, 5000, 1500
		GCassette_Daft_Punk_Discovery,								*, 5000, 1500
		GCassette_Daft_Punk_Random_Access_Memories,					*, 5000, 1500
		GCassette_Dr_Dre_The_Chronic,								*, 5000, 1500
		GCassette_Eminem_The_Eminem_Show,							*, 5000, 1500
		GCassette_Eminem_The_Re_Up,									*, 5000, 1500
		GCassette_Ghostemane_LXRDMAGE,								*, 5000, 1500
		GCassette_Guccifer_mix_1,									*, 5000, 1500
		GCassette_Hank_Williams_Tape_1,								*, 5000, 1500
		GCassette_Hank_Williams_Tape_2,								*, 5000, 1500
		GCassette_Jimi_Hendrix_Are_You_Experienced,					*, 5000, 1500
		GCassette_Journey_Greatest_Hits,							*, 5000, 1500
		GCassette_Kid_Cudi_Man_on_the_Moon,							*, 5000, 1500
		GCassette_Lil_Wayne_Tha_Carter_III,							*, 5000, 1500
		GCassette_Mac_Miller_Swimming,								*, 5000, 1500
		GCassette_Michael_Jackson_Thriller,							*, 5000, 1500
		GCassette_Nirvana_Nevermind,								*, 5000, 1500
		GCassette_Operation_Ivy_Energy,								*, 5000, 1500
		GCassette_Pink_Floyd_The_Dark_Side_of_the_Moon,				*, 5000, 1500
		GCassette_Radiohead_OK_Computer,							*, 5000, 1500
		GCassette_Rage_Against_the_Machine_XX,						*, 5000, 1500
		GCassette_Rob_Zombie_Hellbilly_Deluxe,						*, 5000, 1500
		GCassette_Rob_Zombie_Venomous_Rat_Regeneration_Vendor,		*, 5000, 1500
		GCassette_System_of_a_Down_Toxicity,						*, 5000, 1500
		GCassette_Tech_N9ne_Everready,								*, 5000, 1500
		GCassette_The_Beatles_Abbey_Road,							*, 5000, 1500
		GCassette_The_Beatles_Sgt_Pepper,							*, 5000, 1500
		GCassette_Wu_Tang_Clan_36_Chambers,							*, 5000, 1500

	<Category> More Singles
		GCassette_007_James_Bond_Theme,								*, 1000, 250
		GCassette_ACDC_Highway_to_Hell,								*, 1000, 250
		GCassette_ACDC_Thunderstruck,								*, 1000, 250
		GCassette_Aerosmith_Dream_On,								*, 1000, 250
		GCassette_Afroman_Because_I_Got_High,						*, 1000, 250
		GCassette_aha_Take_On_Me,									*, 1000, 250
		GCassette_Akon_Lonely,										*, 1000, 250
		GCassette_Alice_Cooper_Im_Eighteen,							*, 1000, 250
		GCassette_Alice_Deejay_Better_Off_Alone,					*, 1000, 250
		GCassette_Amazing_Grace,									*, 1000, 250
		GCassette_Apashe_Black_Gold,								*, 1000, 250
		GCassette_Azizi_Gibson_Within,								*, 1000, 250
		GCassette_B_J_Thomas_Raindrops_Keep_Falling_on_my_Head,		*, 1000, 250
		GCassette_Beastie_Boys_Intergalactic,						*, 1000, 250
		GCassette_Beastie_Boys_No_Sleep_Till_Brooklyn,				*, 1000, 250
		GCassette_Beck_Loser,										*, 1000, 250
		GCassette_Bee_Gees_Stayin_Alive,							*, 1000, 250
		GCassette_Ben_E_King_Stand_by_Me,							*, 1000, 250
		GCassette_Bill_Withers_Just_the_Two_of_Us,					*, 1000, 250
		GCassette_Bill_Withers_Lovely_Day,							*, 1000, 250
		GCassette_Billy_Joel_Uptown_Girl,							*, 1000, 250
		GCassette_Bloodhound_Gang_The_Bad_Touch,					*, 1000, 250
		GCassette_Blue_Oyster_Cult_Burnin_for_You,					*, 1000, 250
		GCassette_Bobby_Caldwell_What_You_Wont_Do_for_Love,			*, 1000, 250
		GCassette_Bobby_Day_Rock_In_Robin,							*, 1000, 250
		GCassette_Bobby_McFerrin_Dont_Worry_Be_Happy,				*, 1000, 250
		GCassette_Britney_Spears_Gimme_More,						*, 1000, 250
		GCassette_Brotha_Lynch_Hung_DOA,							*, 1000, 250
		GCassette_Brotha_Lynch_Hung_Meat_Cleaver,					*, 1000, 250
		GCassette_Brotha_Lynch_Hung_Rest_in_Piss,					*, 1000, 250
		GCassette_Buffalo_Springfield_For_What_Its_Worth,			*, 1000, 250
		GCassette_Carmen_Twillie_Circle_of_Life,					*, 1000, 250
		GCassette_Chamillionaire_Ridin,								*, 1000, 250
		GCassette_Coolio_Gangstas_Paradise,							*, 1000, 250
		GCassette_Creedence_Clearwater_Revival_Run_Through_the_Jungle,		*, 1000, 250
		GCassette_Curtis_Mayfield_Diamond_in_the_Back,				*, 1000, 250
		GCassette_Cypress_Hill_Dr_Greenthumb,						*, 1000, 250
		GCassette_Cypress_Hill_Hits_from_the_Bong,					*, 1000, 250
		GCassette_Cypress_Hill_Illusions,							*, 1000, 250
		GCassette_Cypress_Hill_Insane_in_the_Brain,					*, 1000, 250
		GCassette_Darondo_Didnt_I,									*, 1000, 250
		GCassette_Darude_Sandstorm,									*, 1000, 250
		GCassette_David_Glen_Eisley_Sweet_Victory,					*, 1000, 250
		GCassette_Dexys_Midnight_Runners_Come_On_Eileen,			*, 1000, 250
		GCassette_DMX_X_Gon_Give_It_To_Ya,							*, 1000, 250
		GCassette_Dobie_Gray_Drift_Away,							*, 1000, 250
		GCassette_Don_McLean_American_Pie,							*, 1000, 250
		GCassette_Dr_Dre_The_Next_Episode,							*, 1000, 250
		GCassette_Eazy_E_Boyz_n_the_Hood,							*, 1000, 250
		GCassette_Electric_Light_Orchestra_Mr_Blue_Sky,				*, 1000, 250
		GCassette_Eminem_Shake_That,								*, 1000, 250
		GCassette_Enigma_Return_to_Innocence,						*, 1000, 250
		GCassette_Evanescence_Bring_Me_to_Life,						*, 1000, 250
		GCassette_Fleetwood_Mac_Dreams,								*, 1000, 250
		GCassette_Foreigner_I_Want_to_Know_What_Love_Is,			*, 1000, 250
		GCassette_Frank_Sinatra_Thats_Life,							*, 1000, 250
		GCassette_Frederic_Chopin_Nocturne_Op_9_No_2_in_E_Flat_Major,		*, 1000, 250
		GCassette_Future_Mask_Off,									*, 1000, 250
		GCassette_George_Michael_Careless_Whisper
		GCassette_George_Thorogood_Bad_To_The_Bone,					*, 1000, 250
		GCassette_Ghostemane_Fed_Up,								*, 1000, 250
		GCassette_Ghostemane_Mercury_Retrograde,					*, 1000, 250
		GCassette_Gloria_Gaynor_I_Will_Survive,						*, 1000, 250
		GCassette_Goo_Goo_Dolls_Iris,								*, 1000, 250
		GCassette_Gorillaz_Feel_Good_Inc,							*, 1000, 250
		GCassette_Gorillaz_On_Melancholy_Hill,						*, 1000, 250
		GCassette_Green_Day_21_Guns,								*, 1000, 250
		GCassette_Green_Day_Brain_Stew,								*, 1000, 250
		GCassette_Haddaway_What_Is_Love,							*, 1000, 250
		GCassette_Hensonn_Sahara,									*, 1000, 250
		GCassette_HEYYEYAAEYAAAEYAEYAA,								*, 1000, 250
		GCassette_Ice_Cube_Hood_Mentality,							*, 1000, 250
		GCassette_Ice_Cube_It_Was_a_Good_Day,						*, 1000, 250
		GCassette_Indiana_Jones_Theme,								*, 1000, 250
		GCassette_Jerry_Lee_Lewis_Great_Balls_Of_Fire,				*, 1000, 250
		GCassette_Jimi_Hendrix_All_Along_the_Watchtower,			*, 1000, 250
		GCassette_Jimmy_Somerville_Smalltown_Boy_1991_Remix,		*, 1000, 250
		GCassette_Johnny_Cash_I_Walk_the_Line,						*, 1000, 250
		GCassette_Johnny_Cash_Ring_of_Fire,							*, 1000, 250
		GCassette_JVLA_Bad_and_Latin,								*, 1000, 250
		GCassette_Kendrick_Lamar_Bitch_Dont_Kill_My_Vibe,			*, 1000, 250
		GCassette_Kenny_Loggins_Danger_Zone,						*, 1000, 250
		GCassette_Kool_And_The_Gang_Get_Down_On_It,					*, 1000, 250
		GCassette_Lebanon_Hanover_Gallowdance,						*, 1000, 250
		GCassette_Led_Zeppelin_Stairway_to_Heaven,					*, 1000, 250
		GCassette_Left_4_Dead_Louis_Scream,							*, 1000, 250
		GCassette_Lil_Wayne_Love_Me,								*, 1000, 250
		GCassette_Lipps_Inc_Funkytown,								*, 1000, 250
		GCassette_Louis_Armstrong_What_a_Wonderful_World,			*, 1000, 250
		GCassette_Ludacris_Blueberry_Yum_Yum,						*, 1000, 250
		GCassette_Luniz_I_Got_5_On_It,								*, 1000, 250
		GCassette_Lynyrd_Skynyrd_Free_Bird,							*, 1000, 250
		GCassette_Mac_Dre_Feelin_Myself,							*, 1000, 250
		GCassette_Mark_Morrison_Return_of_the_Mack,					*, 1000, 250
		GCassette_Marty_Robbins_Big_Iron,							*, 1000, 250
		GCassette_Men_at_Work_Down_Under,							*, 1000, 250
		GCassette_Metallica_Enter_Sandman,							*, 1000, 250
		GCassette_MGMT_Kids,										*, 1000, 250
		GCassette_Michael_Sembello_Maniac,							*, 1000, 250
		GCassette_Molchat_Doma_sudno_Boris_Ryzhy,					*, 1000, 250
		GCassette_Mount_Westmore_Big_Subwoofer,						*, 1000, 250
		GCassette_Mr_Kitty_After_Dark,								*, 1000, 250
		GCassette_Mr_President_Coco_Jambo,							*, 1000, 250
		GCassette_Musical_Youth_Pass_the_Dutchie,					*, 1000, 250
		GCassette_Oasis_Dont_Look_Back_in_Anger,					*, 1000, 250
		GCassette_Oasis_Wonderwall,									*, 1000, 250
		GCassette_One_Type_of_Dark_Taku_Remix,						*, 1000, 250
		GCassette_Orchestral_Manoeuvres_in_the_Dark_If_You_Leave,	*, 1000, 250
		GCassette_Otis_Redding_Sittin_On_the_Dock_of_the_Bay,		*, 1000, 250
		GCassette_Ozzy_Osbourne_Crazy_Train,						*, 1000, 250
		GCassette_Phil_Collins_In_the_Air_Tonight,					*, 1000, 250
		GCassette_Pixies_Where_Is_My_Mind,							*, 1000, 250
		GCassette_Queen_Another_One_Bites_the_Dust,					*, 1000, 250
		GCassette_Queen_Under_Pressure,								*, 1000, 250
		GCassette_Queen_We_Will_Rock_You,							*, 1000, 250
		GCassette_Radiohead_Creep,									*, 1000, 250
		GCassette_Randy_Newman_Youve_Got_a_Friend_in_Me,			*, 1000, 250
		GCassette_REM_Its_The_End_Of_The_World_As_We_Know_It,		*, 1000, 250
		GCassette_Requiem_Mass_in_D_Minor,							*, 1000, 250
		GCassette_Rick_Astley_Never_Gonna_Give_You_Up,				*, 1000, 250
		GCassette_Ritchie_Valens_La_Bamba,							*, 1000, 250
		GCassette_Roy_Orbison_Oh_Pretty_Woman,						*, 1000, 250
		GCassette_Rusted_Root_Send_Me_on_My_Way,					*, 1000, 250
		GCassette_Santo_and_Johnny_Sleepwalk,						*, 1000, 250
		GCassette_Schubert_Serenade,								*, 1000, 250
		GCassette_Skinshape_Dont_Call_My_Name,						*, 1000, 250
		GCassette_Slowdive_Slomo,									*, 1000, 250
		GCassette_Smash_Mouth_All_Star,								*, 1000, 250
		GCassette_Spandau_Ballet_True,								*, 1000, 250
		GCassette_Starship_Nothings_Gonna_Stop_Us_Now,				*, 1000, 250
		GCassette_Stevie_Nicks_Edge_of_Seventeen,					*, 1000, 250
		GCassette_Strauss_The_Blue_Danube_Waltz,					*, 1000, 250
		GCassette_Sublime_Santeria,									*, 1000, 250
		GCassette_Surf_Curse_Forever_Dumb,							*, 1000, 250
		GCassette_Surf_Curse_Freaks,								*, 1000, 250
		GCassette_Survivor_Eye_of_the_Tiger,						*, 1000, 250
		GCassette_Tchaikovsky_Vals_De_Las_Flores,					*, 1000, 250
		GCassette_Tchaikovsky_Waltz_of_the_Flowers,					*, 1000, 250
		GCassette_Tech_N9ne_Dysfunctional,							*, 1000, 250
		GCassette_The_Animals_House_Of_The_Rising_Sun,				*, 1000, 250
		GCassette_The_Bridge_of_Khazad_Dum,							*, 1000, 250
		GCassette_The_Chordettes_Mr_Sandman,						*, 1000, 250
		GCassette_The_Chords_Sh_Boom,								*, 1000, 250
		GCassette_The_Highwaymen_Highwayman,						*, 1000, 250
		GCassette_The_Notorious_BIG_Big_Poppa,						*, 1000, 250
		GCassette_The_Notorious_BIG_Hypnotize,						*, 1000, 250
		GCassette_The_Notorious_BIG_Juicy,							*, 1000, 250
		GCassette_The_Notorious_BIG_Suicidal_Thoughts,				*, 1000, 250
		GCassette_The_Notorious_BIG_Ten_Crack_Commandments,			*, 1000, 250
		GCassette_The_Pink_Panther_Theme,							*, 1000, 250
		GCassette_The_Police_Every_Breath_You_Take,					*, 1000, 250
		GCassette_The_Proclaimers_Im_on_My_Way,						*, 1000, 250
		GCassette_The_Tokens_The_Lion_Sleeps_Tonight,				*, 1000, 250
		GCassette_The_Weeknd_After_Hours,							*, 1000, 250
		GCassette_The_Weeknd_Blinding_Lights,						*, 1000, 250
		GCassette_Too_Short_Gettin_It,								*, 1000, 250
		GCassette_Toto_Africa,										*, 1000, 250
		GCassette_Travis_Scott_Kid_Cudi_THE_SCOTTS,					*, 1000, 250
		GCassette_Treyarch_115,										*, 1000, 250
		GCassette_Village_People_YMCA,								*, 1000, 250
		GCassette_Warren_G_Regulate,								*, 1000, 250
		GCassette_Wesley_Willis_Rock_n_Roll_McDonalds,				*, 1000, 250
		GCassette_When_In_Rome_The_Promise,							*, 1000, 250
		GCassette_Wild_Cherry_Play_That_Funky_Music,				*, 1000, 250
		GCassette_ZABO_Breathe,										*, 1000, 250
