original_class,placements,builderitems_source,base_class,model,disposition,output_name
bldr_Dead_pile4,7,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\deadbodies\dead_pile4.p3d,native static class; exact model match,StaticObj_Dead_pile4
bldr_Garbage_Bin,1,garbage/config.cpp,HouseNoDestruct,\DZ\structures\residential\Misc\Garbage_Bin.p3d,native static class; exact model match,StaticObj_Garbage_Bin
bldr_Garbage_Container,1,garbage/config.cpp,HouseNoDestruct,\DZ\structures\residential\Misc\Garbage_Container.p3d,native static class; exact model match,StaticObj_Garbage_Container
bldr_Garbage_GroundSq_3m,1,garbage/config.cpp,HouseNoDestruct,\DZ\structures\residential\Misc\Garbage_GroundSq_3m.p3d,native static class; exact model match,StaticObj_Garbage_GroundSq_3m
bldr_Garbage_Ground_6m,1,garbage/config.cpp,HouseNoDestruct,\DZ\structures\residential\Misc\Garbage_Ground_6m.p3d,native static class; exact model match,StaticObj_Garbage_Ground_6m
bldr_Garbage_Pile8,1,residential_bliss/config.cpp,HouseNoDestruct,\DZ\structures_bliss\residential\Misc\Garbage_Pile8.p3d,retained; no exact behavior-preserving native standalone class,bldr_Garbage_Pile8
bldr_Hotel_Damaged_Airplane_Back,1,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\hotel\hotel_damaged_airplane_back.p3d,native static class; exact model match,StaticObj_Hotel_Damaged_Airplane_Back
bldr_Hotel_Damaged_Airplane_Wing,1,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\hotel\hotel_damaged_airplane_wing.p3d,native static class; exact model match,StaticObj_Hotel_Damaged_Airplane_Wing
bldr_HouseB_Tenement_DayZ_airplane,1,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\hotel\proxy\houseb_tenement_dayz_airplane.p3d,retained; no exact behavior-preserving native standalone class,bldr_HouseB_Tenement_DayZ_airplane
bldr_Lamp_City1,2,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\lamp_city1.p3d,native static class; exact model match,StaticObj_Lamp_City1
bldr_Misc_AdvertColumn,1,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\misc_advertcolumn.p3d,native static class; exact model match,StaticObj_Misc_AdvertColumn
bldr_Misc_BoxWooden,7,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\misc_boxwooden.p3d,native static class; exact model match,StaticObj_Misc_BoxWooden
bldr_Misc_Chair_Camp2,2,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\misc_chair_camp2.p3d,native static class; exact model match,StaticObj_Misc_Chair_Camp2
bldr_Misc_RoadBarrier,1,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\misc_roadbarrier.p3d,native static class; exact model match,StaticObj_Misc_RoadBarrier
bldr_Misc_Tree_Pavement1,2,residential/config.cpp,HouseNoDestruct,\DZ\structures\residential\misc\misc_tree_pavement1.p3d,native static class; exact model match,StaticObj_Misc_Tree_Pavement1
bldr_PortableGasLamp,1,staticitems/config.cpp,HouseNoDestruct,\dz\gear\cooking\GasLight.p3d,retained static wrapper; native match is pickup-capable,bldr_PortableGasLamp
bldr_Rubble_DirtPile_Large,6,ruins/config.cpp,HouseNoDestruct,\DZ\structures\ruins\rubble_dirtpile_large.p3d,native static class; exact model match,StaticObj_Rubble_DirtPile_Large
bldr_Rubble_DirtPile_Small,1,ruins/config.cpp,HouseNoDestruct,\DZ\structures\ruins\rubble_dirtpile_small.p3d,retained; no exact behavior-preserving native standalone class,bldr_Rubble_DirtPile_Small
bldr_Rubble_Glass,3,ruins/config.cpp,HouseNoDestruct,\DZ\structures\ruins\rubble_glass.p3d,native static class; exact model match,StaticObj_Rubble_Glass
bldr_Slum_Roof4,1,residential_bliss/config.cpp,HouseNoDestruct,\DZ\structures_bliss\residential\Slums\Slum_Roof4.p3d,retained; no exact behavior-preserving native standalone class,bldr_Slum_Roof4
bldr_Statue_General,1,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\statues\statue_general.p3d,native static class; exact model match,StaticObj_Statue_General
bldr_T34,10,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\statues\proxy\t34.p3d,retained; no exact behavior-preserving native standalone class,bldr_T34
bldr_box_c,6,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\decoration\box_c\box_c.p3d,native static class; exact model match,StaticObj_Furniture_box_c
bldr_box_c_multi,3,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\decoration\box_c\box_c_multi.p3d,native static class; exact model match,StaticObj_Furniture_box_c_multi
bldr_desk_globe,1,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\school_equipment\desk_globe.p3d,native static class; exact model match,StaticObj_Furniture_Desk_Globe
bldr_flag_chernarus_pole,1,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\school_equipment\flag_chernarus_pole.p3d,native static class; exact model match,StaticObj_Furniture_flag_chernarus_pole
bldr_misc_antenna,3,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_antenna.p3d,native static class; exact model match,StaticObj_Misc_Antenna
bldr_misc_bagfence_round,3,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_bagfence_round.p3d,native static class; exact model match,StaticObj_Misc_BagFence_Round
bldr_misc_barbedwire,23,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_barbedwire.p3d,native static class; exact model match,StaticObj_Misc_Barbedwire
bldr_misc_boardspack1,2,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_boardspack1.p3d,native static class; exact model match,StaticObj_Misc_BoardsPack1
bldr_misc_boardspack2,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_boardspack2.p3d,native static class; exact model match,StaticObj_Misc_BoardsPack2
bldr_misc_boardspack3,3,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_boardspack3.p3d,native static class; exact model match,StaticObj_Misc_BoardsPack3
bldr_misc_coil,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_coil.p3d,native static class; exact model match,StaticObj_Misc_Coil
bldr_misc_concreteblock1,2,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_concreteblock1.p3d,native static class; exact model match,StaticObj_Misc_ConcreteBlock1
bldr_misc_concreteblock1_end,1,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_concreteblock1_end.p3d,native static class; exact model match,StaticObj_Misc_ConcreteBlock1_End
bldr_misc_concreteblock2,2,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_concreteblock2.p3d,native static class; exact model match,StaticObj_Misc_ConcreteBlock2
bldr_misc_concreteblock2_damaged,5,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_concreteblock2_damaged.p3d,native static class; exact model match,StaticObj_Misc_ConcreteBlock2_Damaged
bldr_misc_flagpole,2,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_flagpole.p3d,native static class; exact model match,StaticObj_Misc_Flagpole
bldr_misc_haybale,6,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_haybale.p3d,native static class; exact model match,StaticObj_Misc_HayBale
bldr_misc_hedgehog_concrete,9,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_hedgehog_concrete.p3d,native static class; exact model match,StaticObj_Misc_Hedgehog_Concrete
bldr_misc_pallet,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_pallet.p3d,native static class; exact model match,StaticObj_Misc_Pallet
bldr_misc_pallets3,3,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_pallets3.p3d,native static class; exact model match,StaticObj_Misc_Pallets3
bldr_misc_pipes,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_pipes.p3d,native static class; exact model match,StaticObj_Misc_Pipes
bldr_misc_razorwire,1,Military/misc/config.cpp,HouseNoDestruct,\DZ\structures\military\misc\misc_razorwire.p3d,native static class; exact model match,StaticObj_Misc_Razorwire
bldr_misc_scaffolding,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_scaffolding.p3d,native static class; exact model match,Land_Misc_Scaffolding
bldr_misc_timbers2,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_timbers2.p3d,native static class; exact model match,StaticObj_Misc_Timbers2
bldr_misc_timbers4,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_timbers4.p3d,native static class; exact model match,StaticObj_Misc_Timbers4
bldr_misc_timbers_log1,2,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_timbers_log1.p3d,native static class; exact model match,StaticObj_Misc_Timbers_Log1
bldr_misc_timbers_log2,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_timbers_log2.p3d,native static class; exact model match,StaticObj_Misc_Timbers_Log2
bldr_misc_timbers_log3,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_timbers_log3.p3d,native static class; exact model match,StaticObj_Misc_Timbers_Log3
bldr_misc_tirepile,1,industrial/config.cpp,HouseNoDestruct,\DZ\structures\industrial\misc\misc_tirepile.p3d,native static class; exact model match,StaticObj_Misc_TirePile
bldr_office_chair,1,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\chairs\office_chair\office_chair.p3d,native static class; exact model match,StaticObj_Furniture_office_chair
bldr_office_table_a,1,furniture/config.cpp,HouseNoDestruct,\DZ\structures\furniture\tables\office_table_a\office_table_a.p3d,native static class; exact model match,StaticObj_Furniture_office_table_a
bldr_plnt_b_FagusSylvatica_1f,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\b_fagussylvatica_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/b_fagussylvatica_1f.p3d
bldr_plnt_b_betulaHumilis_1s,20,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_betulahumilis_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_betulahumilis_1s.p3d
bldr_plnt_b_corylusAvellana_1f,12,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_corylusavellana_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_corylusavellana_1f.p3d
bldr_plnt_b_corylusAvellana_2s,19,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_corylusavellana_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_corylusavellana_2s.p3d
bldr_plnt_b_crataegusLaevigata_1s,13,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_crataeguslaevigata_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_crataeguslaevigata_1s.p3d
bldr_plnt_b_crataegusLaevigata_2s,9,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_crataeguslaevigata_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_crataeguslaevigata_2s.p3d
bldr_plnt_b_prunusSpinosa_1s,8,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_prunusspinosa_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_prunusspinosa_1s.p3d
bldr_plnt_b_prunusSpinosa_2s,18,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_prunusspinosa_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_prunusspinosa_2s.p3d
bldr_plnt_b_rosaCanina_1s,11,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_rosacanina_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_rosacanina_1s.p3d
bldr_plnt_b_rosaCanina_2s,7,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_rosacanina_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_rosacanina_2s.p3d
bldr_plnt_b_sambucusNigra_1s,8,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_sambucusnigra_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_sambucusnigra_1s.p3d
bldr_plnt_b_sambucusNigra_2s,11,plants/config.cpp,bldr_bush,\DZ\plants\bush\b_sambucusnigra_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/bush/b_sambucusnigra_2s.p3d
bldr_plnt_c_Anthoxanthum,8,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_anthoxanthum.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_anthoxanthum.p3d
bldr_plnt_c_Anthoxanthum_bended,2,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_anthoxanthum_bended.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_anthoxanthum_bended.p3d
bldr_plnt_c_Broadleaf_sprouts,1,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_broadleaf_sprouts.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_broadleaf_sprouts.p3d
bldr_plnt_c_Carduus,1,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_carduus.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_carduus.p3d
bldr_plnt_c_ConcreteGrass_bunch,2,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_concretegrass_bunch.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_concretegrass_bunch.p3d
bldr_plnt_c_Elytrigia,1,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_elytrigia.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_elytrigia.p3d
bldr_plnt_c_ElytrigiaDirt,380,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_elytrigiadirt.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_elytrigiadirt.p3d
bldr_plnt_c_ElytrigiaForest,2,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_elytrigiaforest.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_elytrigiaforest.p3d
bldr_plnt_c_ElytrigiaTall,615,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_elytrigiatall.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_elytrigiatall.p3d
bldr_plnt_c_Elytrigia_green,4347,plants/config.cpp,HouseNoDestruct,\DZ\plants\clutter\c_elytrigia_green.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/clutter/c_elytrigia_green.p3d
bldr_plnt_c_GrassDryCarduus_f_summer,15,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\clutter\c_GrassDryCarduus_f_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/clutter/c_GrassDryCarduus_f_summer.p3d
bldr_plnt_c_GrassDryHypericum_summer,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\clutter\c_GrassDryHypericum_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/clutter/c_GrassDryHypericum_summer.p3d
bldr_plnt_c_GrassDry_summer,1058,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\clutter\c_GrassDry_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/clutter/c_GrassDry_summer.p3d
bldr_plnt_ivy_A,3,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_A.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_A.p3d
bldr_plnt_ivy_B,3,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_B.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_B.p3d
bldr_plnt_ivy_C,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_C.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_C.p3d
bldr_plnt_ivy_D,2,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_D.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_D.p3d
bldr_plnt_ivy_F,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_F.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_F.p3d
bldr_plnt_ivy_G,2,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_G.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_G.p3d
bldr_plnt_ivy_K,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_K.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_K.p3d
bldr_plnt_ivy_M,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_M.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_M.p3d
bldr_plnt_ivy_T,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\building\ivy_T.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/building/ivy_T.p3d
bldr_plnt_t_BetulaPendula_1fb,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_1fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_1fb.p3d
bldr_plnt_t_BetulaPendula_1s,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_1s.p3d
bldr_plnt_t_BetulaPendula_2f,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_2f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_2f.p3d
bldr_plnt_t_BetulaPendula_2fb,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_2fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_2fb.p3d
bldr_plnt_t_BetulaPendula_2s,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_2s.p3d
bldr_plnt_t_BetulaPendula_2w,6,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_2w.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_2w.p3d
bldr_plnt_t_BetulaPendula_3f,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_3f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_3f.p3d
bldr_plnt_t_BetulaPendula_3fb,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_3fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_3fb.p3d
bldr_plnt_t_BetulaPendula_3fc,9,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_3fc.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_3fc.p3d
bldr_plnt_t_BetulaPendula_3s,7,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_betulapendula_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_betulapendula_3s.p3d
bldr_plnt_t_FagusSylvatica_1f,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_1f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_1f.p3d
bldr_plnt_t_FagusSylvatica_1fc,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_1fc.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_1fc.p3d
bldr_plnt_t_FagusSylvatica_1fd,5,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_1fd.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_1fd.p3d
bldr_plnt_t_FagusSylvatica_1fe,4,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_1fe.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_1fe.p3d
bldr_plnt_t_FagusSylvatica_1s,7,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_1s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_1s.p3d
bldr_plnt_t_FagusSylvatica_2d,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2d.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2d.p3d
bldr_plnt_t_FagusSylvatica_2f,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2f.p3d
bldr_plnt_t_FagusSylvatica_2f_cut,2,plants/config.cpp,bldr_tree,\DZ\plants\tree\cutted_cut\t_fagussylvatica_2f_cut.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/cutted_cut/t_fagussylvatica_2f_cut.p3d
bldr_plnt_t_FagusSylvatica_2fb,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2fb.p3d
bldr_plnt_t_FagusSylvatica_2fc,3,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2fc.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2fc.p3d
bldr_plnt_t_FagusSylvatica_2s,23,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2s.p3d
bldr_plnt_t_FagusSylvatica_2sb,12,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2sb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2sb.p3d
bldr_plnt_t_FagusSylvatica_2sb_Trail_G,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2sb_trail_g.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2sb_trail_g.p3d
bldr_plnt_t_FagusSylvatica_2sb_Trail_G_summer,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\tree\t_FagusSylvatica_2sb_Trail_G_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/tree/t_FagusSylvatica_2sb_Trail_G_summer.p3d
bldr_plnt_t_FagusSylvatica_2sb_Trail_R,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2sb_trail_r.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2sb_trail_r.p3d
bldr_plnt_t_FagusSylvatica_2sb_Trail_Y,5,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_2sb_trail_y.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_2sb_trail_y.p3d
bldr_plnt_t_FagusSylvatica_3f,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_3f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_3f.p3d
bldr_plnt_t_FagusSylvatica_3f_summer,1,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\tree\t_FagusSylvatica_3f_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/tree/t_FagusSylvatica_3f_summer.p3d
bldr_plnt_t_FagusSylvatica_3fb,1,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_3fb.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_3fb.p3d
bldr_plnt_t_FagusSylvatica_3fb_test,24,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_3fb_test.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_3fb_test.p3d
bldr_plnt_t_FagusSylvatica_3s,105,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fagussylvatica_3s.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fagussylvatica_3s.p3d
bldr_plnt_t_FagusSylvatica_3s_summer,6,plants_bliss/config.cpp,HouseNoDestruct,DZ\plants_bliss\tree\t_FagusSylvatica_3s_summer.p3d,DayZ Editor-compatible direct plant model path,DZ/plants_bliss/tree/t_FagusSylvatica_3s_summer.p3d
bldr_plnt_t_FraxinusExcelsior_2f,56,plants/config.cpp,bldr_tree,\DZ\plants\tree\t_fraxinusexcelsior_2f.p3d,DayZ Editor-compatible direct plant model path,DZ/plants/tree/t_fraxinusexcelsior_2f.p3d
