original_builderitems_class,replacement_name,replacement_type,placements
bldr_plnt_t_FagusSylvatica_3f_summer,DZ/plants_bliss/tree/t_FagusSylvatica_3f_summer.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_3fb,DZ/plants/tree/t_fagussylvatica_3fb.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_3fb_test,DZ/plants/tree/t_fagussylvatica_3fb_test.p3d,DayZ Editor-compatible direct plant model path,24
bldr_plnt_t_FagusSylvatica_3s,DZ/plants/tree/t_fagussylvatica_3s.p3d,DayZ Editor-compatible direct plant model path,105
bldr_plnt_t_FagusSylvatica_3s_summer,DZ/plants_bliss/tree/t_FagusSylvatica_3s_summer.p3d,DayZ Editor-compatible direct plant model path,6
bldr_plnt_t_FraxinusExcelsior_2f,DZ/plants/tree/t_fraxinusexcelsior_2f.p3d,DayZ Editor-compatible direct plant model path,56
bldr_plnt_t_FraxinusExcelsior_2s,DZ/plants/tree/t_fraxinusexcelsior_2s.p3d,DayZ Editor-compatible direct plant model path,55
bldr_plnt_t_FraxinusExcelsior_2w,DZ/plants/tree/t_fraxinusexcelsior_2w.p3d,DayZ Editor-compatible direct plant model path,7
bldr_plnt_t_FraxinusExcelsior_3s,DZ/plants/tree/t_fraxinusexcelsior_3s.p3d,DayZ Editor-compatible direct plant model path,110
bldr_plnt_t_PiceaAbies_1f,DZ/plants/tree/t_piceaabies_1f.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_t_PiceaAbies_1s,DZ/plants/tree/t_piceaabies_1s.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_PiceaAbies_1sb,DZ/plants/tree/t_piceaabies_1sb.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_PiceaAbies_2f,DZ/plants/tree/t_piceaabies_2f.p3d,DayZ Editor-compatible direct plant model path,13
bldr_plnt_t_PiceaAbies_2fb,DZ/plants/tree/t_piceaabies_2fb.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_PiceaAbies_2s,DZ/plants/tree/t_piceaabies_2s.p3d,DayZ Editor-compatible direct plant model path,49
bldr_plnt_t_PiceaAbies_2sb,DZ/plants/tree/t_piceaabies_2sb.p3d,DayZ Editor-compatible direct plant model path,6
bldr_plnt_t_PiceaAbies_3f,DZ/plants/tree/t_piceaabies_3f.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_PiceaAbies_3f_Trail_G,DZ/plants/tree/t_piceaabies_3f_trail_g.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_t_PiceaAbies_3f_Trail_Y,DZ/plants/tree/t_piceaabies_3f_trail_y.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_PiceaAbies_3s,DZ/plants/tree/t_piceaabies_3s.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_carpinus_2s,DZ/plants/tree/t_carpinus_2s.p3d,DayZ Editor-compatible direct plant model path,10
bldr_plnt_t_juglansRegia_2s,DZ/plants/tree/t_juglansregia_2s.p3d,DayZ Editor-compatible direct plant model path,81
bldr_plnt_t_juglansRegia_3s,DZ/plants/tree/t_juglansregia_3s.p3d,DayZ Editor-compatible direct plant model path,62
bldr_plnt_t_malusDomestica_2s,DZ/plants/tree/t_malusdomestica_2s.p3d,DayZ Editor-compatible direct plant model path,9
bldr_plnt_t_malusDomestica_3s,DZ/plants/tree/t_malusdomestica_3s.p3d,DayZ Editor-compatible direct plant model path,25
bldr_plnt_t_naked_1s,DZ/plants/tree/t_naked_1s.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_naked_2s,DZ/plants/tree/t_naked_2s.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_populusAlba_1f,DZ/plants/tree/t_populusalba_1f.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_t_populusAlba_2s,DZ/plants/tree/t_populusalba_2s.p3d,DayZ Editor-compatible direct plant model path,38
bldr_plnt_t_populusAlba_3s,DZ/plants/tree/t_populusalba_3s.p3d,DayZ Editor-compatible direct plant model path,93
bldr_plnt_t_populusNigra_3s,DZ/plants/tree/t_populusnigra_3s.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_prunusDomestica_2s,DZ/plants/tree/t_prunusdomestica_2s.p3d,DayZ Editor-compatible direct plant model path,18
bldr_plnt_t_pyrusCommunis_2s,DZ/plants/tree/t_pyruscommunis_2s.p3d,DayZ Editor-compatible direct plant model path,14
bldr_plnt_t_pyrusCommunis_3s,DZ/plants/tree/t_pyruscommunis_3s.p3d,DayZ Editor-compatible direct plant model path,31
bldr_plnt_t_pyrusCommunis_3sb,DZ/plants/tree/t_pyruscommunis_3sb.p3d,DayZ Editor-compatible direct plant model path,13
bldr_plnt_t_quercusRobur_1s,DZ/plants/tree/t_quercusrobur_1s.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_quercusRobur_2fb,DZ/plants/tree/t_quercusrobur_2fb.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_quercusRobur_2s,DZ/plants/tree/t_quercusrobur_2s.p3d,DayZ Editor-compatible direct plant model path,9
bldr_plnt_t_quercusRobur_2sb,DZ/plants/tree/t_quercusrobur_2sb.p3d,DayZ Editor-compatible direct plant model path,5
bldr_plnt_t_quercusRobur_2sc,DZ/plants/tree/t_quercusrobur_2sc.p3d,DayZ Editor-compatible direct plant model path,10
bldr_plnt_t_quercusRobur_3f,DZ/plants/tree/t_quercusrobur_3f.p3d,DayZ Editor-compatible direct plant model path,4
bldr_plnt_t_quercusRobur_3fb,DZ/plants/tree/t_quercusrobur_3fb.p3d,DayZ Editor-compatible direct plant model path,7
bldr_plnt_t_quercusRobur_3s,DZ/plants/tree/t_quercusrobur_3s.p3d,DayZ Editor-compatible direct plant model path,10
bldr_plnt_t_quercusRobur_3sb,DZ/plants/tree/t_quercusrobur_3sb.p3d,DayZ Editor-compatible direct plant model path,44
bldr_plnt_t_robiniaPseudoacacia_1f,DZ/plants/tree/t_robiniapseudoacacia_1f.p3d,DayZ Editor-compatible direct plant model path,10
bldr_plnt_t_robiniaPseudoacacia_2f,DZ/plants/tree/t_robiniapseudoacacia_2f.p3d,DayZ Editor-compatible direct plant model path,34
bldr_plnt_t_robiniaPseudoacacia_2s,DZ/plants/tree/t_robiniapseudoacacia_2s.p3d,DayZ Editor-compatible direct plant model path,98
bldr_plnt_t_robiniaPseudoacacia_3f,DZ/plants/tree/t_robiniapseudoacacia_3f.p3d,DayZ Editor-compatible direct plant model path,47
bldr_plnt_t_salixAlba_2sb,DZ/plants/tree/t_salixalba_2sb.p3d,DayZ Editor-compatible direct plant model path,12
bldr_plnt_t_salixAlba_2sb_swamp,DZ/plants/tree/t_salixalba_2sb_swamp.p3d,DayZ Editor-compatible direct plant model path,9
bldr_plnt_t_town_1s,DZ/plants/tree/t_town_1s.p3d,DayZ Editor-compatible direct plant model path,1
bldr_power_pole_wood1_trail_y,StaticObj_Power_Pole_Wood1_Trail_Y,native static class; exact model match,1
bldr_rail_polett1,StaticObj_Rail_PoleTT1,native static class; exact model match,2
bldr_roadblock_bags_curve,StaticObj_Roadblock_Bags_Curve,native static class; exact model match,7
bldr_roadblock_bags_endl,StaticObj_Roadblock_Bags_EndL,native static class; exact model match,1
bldr_roadblock_bags_endr,StaticObj_Roadblock_Bags_EndR,native static class; exact model match,1
bldr_roadblock_bags_long,StaticObj_Roadblock_Bags_Long,native static class; exact model match,2
bldr_roadblock_cncblock,StaticObj_Roadblock_CncBlock,native static class; exact model match,5
bldr_roadblock_cncblocks_long,StaticObj_Roadblock_CncBlocks_Long,native static class; exact model match,11
bldr_roadblock_cncblocks_short,StaticObj_Roadblock_CncBlocks_short,native static class; exact model match,4
bldr_roadblock_pillbox,StaticObj_Roadblock_Pillbox,native static class; exact model match,5
bldr_student_chair,StaticObj_Furniture_student_chair,native static class; exact model match,1
bldr_wall_forfieldfen_end,StaticObj_Wall_ForFieldFen_end,native static class; exact model match,3
bldr_wall_garbcont,StaticObj_Wall_GarbCont,native static class; exact model match,5
bldr_wall_indfnc_3,StaticObj_Wall_IndFnc_3,native static class; exact model match,1
bldr_wall_indfnc_9,StaticObj_Wall_IndFnc_9,native static class; exact model match,2
bldr_wall_indfnc_pole,StaticObj_Wall_IndFnc_Pole,native static class; exact model match,2
bldr_wreck_bmp2,StaticObj_Wreck_BMP2,native static class; exact model match,3
bldr_wreck_brdm,StaticObj_Wreck_BRDM,native static class; exact model match,3
bldr_wreck_bulldozer,StaticObj_Wreck_Bulldozer,native static class; exact model match,3
bldr_wreck_decal_small1,StaticObj_Wreck_Decal_Small1,native static class; exact model match,1
bldr_wreck_digger,StaticObj_Wreck_Digger,native static class; exact model match,1
bldr_wreck_harverster,Land_Wreck_Harverster,native static class; exact model match,1
bldr_wreck_hmmwv,StaticObj_Wreck_HMMWV,native static class; exact model match,17
bldr_wreck_t72_chassis,StaticObj_Wreck_T72_Chassis,native static class; exact model match,1
bldr_wreck_t72_turret,StaticObj_Wreck_T72_Turret,native static class; exact model match,1
bldr_wreck_trailer_cistern,StaticObj_Wreck_Trailer_Cistern,native static class; exact model match,1
bldr_wreck_trailer_flat,StaticObj_Wreck_Trailer_Flat,native static class; exact model match,1
bldr_wreck_ural,StaticObj_Wreck_Ural,native static class; exact model match,9
